Signal,Pin,Direction,I/O Standard
CLK,H6,Input,3.3-V LVCMOS
UART_RX,A4,Input,3.3-V LVCMOS
UART_TX,B4,Output,3.3-V LVCMOS
GPIO_0,M3,Bidirectional,3.3-V LVCMOS
GPIO_1,L3,Bidirectional,3.3-V LVCMOS
GPIO_2,M2,Bidirectional,3.3-V LVCMOS
GPIO_3,M1,Bidirectional,3.3-V LVCMOS
GPIO_4,N3,Bidirectional,3.3-V LVCMOS
GPIO_5,N2,Bidirectional,3.3-V LVCMOS
GPIO_6,K2,Bidirectional,3.3-V LVCMOS
GPIO_7,K1,Bidirectional,3.3-V LVCMOS
sdram_dq_0,D11,Bidirectional,3.3-V LVCMOS
sdram_dq_1,G10,Bidirectional,3.3-V LVCMOS
sdram_dq_2,F10,Bidirectional,3.3-V LVCMOS
sdram_dq_3,F9,Bidirectional,3.3-V LVCMOS
sdram_dq_4,E10,Bidirectional,3.3-V LVCMOS
sdram_dq_5,D9,Bidirectional,3.3-V LVCMOS
sdram_dq_6,G9,Bidirectional,3.3-V LVCMOS
sdram_dq_7,F8,Bidirectional,3.3-V LVCMOS
sdram_dq_8,F13,Bidirectional,3.3-V LVCMOS
sdram_dq_9,E12,Bidirectional,3.3-V LVCMOS
sdram_dq_10,E13,Bidirectional,3.3-V LVCMOS
sdram_dq_11,D12,Bidirectional,3.3-V LVCMOS
sdram_dq_12,C12,Bidirectional,3.3-V LVCMOS
sdram_dq_13,B12,Bidirectional,3.3-V LVCMOS
sdram_dq_14,B13,Bidirectional,3.3-V LVCMOS
sdram_dq_15,A12,Bidirectional,3.3-V LVCMOS
sdram_dqm_0,E9,Output,3.3-V LVCMOS
sdram_dqm_1,F12,Output,3.3-V LVCMOS
sdram_addr_0,K6,Output,3.3-V LVCMOS
sdram_addr_1,M5,Output,3.3-V LVCMOS
sdram_addr_2,N5,Output,3.3-V LVCMOS
sdram_addr_3,J8,Output,3.3-V LVCMOS
sdram_addr_4,N10,Output,3.3-V LVCMOS
sdram_addr_5,M11,Output,3.3-V LVCMOS
sdram_addr_6,N9,Output,3.3-V LVCMOS
sdram_addr_7,L10,Output,3.3-V LVCMOS
sdram_addr_8,M13,Output,3.3-V LVCMOS
sdram_addr_9,N8,Output,3.3-V LVCMOS
sdram_addr_10,N4,Output,3.3-V LVCMOS
sdram_addr_11,M10,Output,3.3-V LVCMOS
sdram_ba_0,N6,Output,3.3-V LVCMOS
sdram_ba_1,K8,Output,3.3-V LVCMOS
sdram_cas_n,N7,Output,3.3-V LVCMOS
sdram_cke,M8,Output,3.3-V LVCMOS
sdram_cs_n,M4,Output,3.3-V LVCMOS
sdram_ras_n,M7,Output,3.3-V LVCMOS
sdram_we_n,K7,Output,3.3-V LVCMOS
sdram_clk,M9,Output,3.3-V LVCMOS
SEN_SDI,J7,Bidirectional,3.3-V LVCMOS
SEN_SPC,J6,Bidirectional,3.3-V LVCMOS
SEN_CS,L5,Output,3.3-V LVCMOS
SEN_SDO,K5,Input,3.3-V LVCMOS
SPI_CS,A6,Input,3.3-V LVCMOS
SPI_MISO,B5,Output,3.3-V LVCMOS
LED_0,A8,Output,2.5 V
LED_1,A9,Output,2.5 V
LED_2,A11,Output,2.5 V
LED_3,A10,Output,2.5 V
LED_4,B10,Output,2.5 V
LED_5,C9,Output,2.5 V
LED_6,C10,Output,2.5 V
LED_7,D8,Output,2.5 V
